id,sentence,claims,focus,coverage,redundance,model,user,cross_focus,cross_coverage,cross_users
1,3394,"Michael Fassbender's nickname is Michael Fassender.
Michael Fassbender was a Spartan warrior.
Michael Fassbender was born on 2 April 1977.
Michael Fassbender starred in the Sky One fantasy drama Hex (2004 - 05).
Michael Fassbender starred in the HBO miniseries Band of Brothers in 2001.
The film 300 was released in 2007.
Michael Fassbender is German.
HBO produced the miniseries Band of Brothers.
Michael Fassbender's first feature film was 300.
The HBO miniseries Band of Brothers was aired in 2001.
Michael Fassbender is Irish.",,,,qacg,,,,
2,5516,"The capital of Portugal is Lisbon.
Lisbon is the 11th most populous urban area in the European Union.
The population of Lisbon Lisbon is 552,700.
The capital of Portugal is Lisboa.
The population of Lisbon's urban area is around 2.7 million.
The area of Lisbon Lisbon is 100.05 km ².
Lisbon is located in Portugal.
Lisbon ranks in 11th in terms of population in the European Union.",,,,qacg,,,,
3,1859,"Crown colony was a type of colonial administration of the overseas territories of the British Empire.
A Crown colony has been known as a British Overseas Territory since 2002.
Another name for a Crown colony is British.
A crown colony was known as a royal colony in the 17th century.",1100,10111,0000,qacg,356,"1100,0000","10111,11011","356,360"
4,2328,"The name of Colombia's territory is Colombia.
Colombia is one of the world's 17 megadiverse countries.
Along with the Pacific coastline, Colombian territory is also the Caribbean.
Colombia is densely biodiverse.
Colombia's nationality is Colombian.
Colombia belongs to six emerging markets.
Colombia is a member of the WTO organization.
Colombia is a member of OAS.
Colombia has Amazon rainforest.
Colombia's economy is located in Latin America.
Colombia ranks fourth among Latin American economies.
Colombia is a member of the UN organization.
Along with the UN, the OAS, and other international organizations, Colombia is a member of the Pacific Alliance.
Colombia is 17 megadiverse countries.
Colombia is a part of CIVETS.
Along with the Caribbean, Colombia has the Pacific coastline.",,,,qacg,,,,
5,3362,"James A. Woods attended school at Lee Strasberg Theatre and Film Institute.
TVA Films produced Eternal.
James A. Woods was born in Montreal.
Seville Films distributed Hatley High.
James A. Woods won the Best Screenplay award at The Comedy Festival.
James A. Woods won the award of best Director for his role in Hatley High.
Hatley High was distributed in Canada.
James A. Woods played the role of James A.Woods in Hatley High.
James A. Woods won Best Director and Best Screenplay awards at the Comedy Festival.
James A. Woods directed Eternal and the Ed Solomon films.
James A. Woods starred in the film Hatley High.
Ed Solomon directed the film Levity.
James A. Woods'nickname was Woods.
James A. Woods attended school in New York City.",,,,qacg,,,,
6,5387,"Linkin Park is from California.
Linkin Park is from Agoura Hills.
Linkin Park is American.
Linkin Park is an American rock band from Agoura Hills, California.
RIAA certified Linkin Park's album as diamond.
The name of Linkin Park's first album was Hybrid Theory.
Linkin Park's debut album was certified diamond by the RIAA in 2005.
Linkin Park's Meteora top Billboard in 2003.
Linkin Park was formed in 1996.
Linkin Park's debut album was released in 2000.
The Billboard number of Hybrid Theory was 200.
Linkin Park's Meteora top the Billboard 200 in 2003.
Meteora was the name of Linkin Park's second album.",,,,qacg,,,,
7,3721,"Highway to Heaven aired five seasons.
Highway to Heaven aired on NBC from 1984 to 1989.
Highway to Heaven is American.
Highway to Heaven had 111 episodes.
Highway to Heaven aired on NBC from 1984 to 1989.
Highway to Heaven was the name of the American television series Highway to Heaven.",,,,qacg,,,,
8,1441,"The first name of Billie Piper's album was first.
The first album by Billie Piper was released in 1998.
Billie Piper had one song on her first album.
The name of Billie Piper's first album was the BHoney.
Billie Piper released Honey to the B.
Billie Piper was British.
Billie Piper was the youngest female artist to have a first single enter the pop charts in the UK.
Billie was the first British female pop singer to have a first single enter the UK pop charts at number one.",01000000,0100,00000000,qacg,356,01000000,0100,356
9,1538,"Petersen was released in 1974.
Jacki Weaver was Australian.
Weaver won an Academy Award for Best Supporting Actress in Silver Linings Playbook.
Jacki Weaver belonged to New Wave cinema.
Silver Linings Playbook earned Jacki Weaver an Academy Award nomination for Best Supporting Actress.
Jacki Weaver starred in the Ozploitation film Alvin Purple (1973).
Jacki Weaver released her autobiography in 2005.
Jacki Weaver emerged as a symbol of the Australian New Wave in the 1970s.
Jacki Weaver was known for the film Animal Kingdom.
Jacki's real name is Weaver.
Jacki Weaver starred in the Ozploitation film Stork (1971).
Silver Linings Playbook was released in 2012.
Animal Kingdom was released in 2010.
Jacki Weaver's autobiography was called Much Love, Jac.
Jacki Weaver is known for her roles in Animal Kingdom and Silver Linings Playbook.
Jacki Weaver starred in the Ozploitation film Petersen in 1974.
Jacki Weaver was a symbol of the Australian New Wave in Ozploitation.",,,,qacg,,,,
10,4773,"Girls' Generation is South Korean.
Along with Taeyeon, Sunny, Hyoyeon, Yuri, and Seohyun, Yoona is a member of YoonA.
Along with Taeyeon, Sunny, Hyoyeon, Yuri, Sooyoung, Yoona, and Seoh, Tiffany is also present.
The name of the eight members of the Girls' Generation is Taeyeon.
Girls' Generation is the name of the South Korean girl group SNSD.
The name of the South Korean girl group SNSD is S.M. Entertainment.
The name of the member of the Girls' Generation is Sooyoung.
The name of the group's other member is Sunny.
Hyoyeon is the name of the member of the Girls' Generation.
There are eight members in the Girls' Generation.
Yuri is the name of the member of the Girls' Generation.
Another name for Girls' Generation is SNSD.
Along with Taeyeon, Sunny, Hyoyeon, Yuri, Sooyoung, Yoona, and Yoonahun, Seohyun is also a Yoonan.",,,,qacg,,,,
