id,acl_sentence,claim,annotation,user,cross_annotations,cross_users
1,3394,Michael Fassbender's nickname is Michael Fassender.,,,,
2,3394,Michael Fassbender was a Spartan warrior.,,,,
3,3394,Michael Fassbender was born on 2 April 1977.,,,,
4,3394,Michael Fassbender starred in the Sky One fantasy drama Hex (2004 - 05).,,,,
5,3394,Michael Fassbender starred in the HBO miniseries Band of Brothers in 2001.,,,,
6,3394,The film 300 was released in 2007.,,,,
7,3394,Michael Fassbender is German.,,,,
8,3394,HBO produced the miniseries Band of Brothers.,,,,
9,3394,Michael Fassbender's first feature film was 300.,,,,
10,3394,The HBO miniseries Band of Brothers was aired in 2001.,,,,
11,3394,Michael Fassbender is Irish.,,,,
12,5516,The capital of Portugal is Lisbon.,,,,
13,5516,Lisbon is the 11th most populous urban area in the European Union.,,,,
14,5516,"The population of Lisbon Lisbon is 552,700.",,,,
15,5516,The capital of Portugal is Lisboa.,,,,
16,5516,The population of Lisbon's urban area is around 2.7 million.,,,,
17,5516,The area of Lisbon Lisbon is 100.05 km ².,,,,
18,5516,Lisbon is located in Portugal.,,,,
19,5516,Lisbon ranks in 11th in terms of population in the European Union.,,,,
20,1859,Crown colony was a type of colonial administration of the overseas territories of the British Empire.,3311,356,"3311,3311","356,360"
21,1859,A Crown colony has been known as a British Overseas Territory since 2002.,2211,356,"2211,3311","356,360"
22,1859,Another name for a Crown colony is British.,1111,356,"1111,1301","356,360"
23,1859,A crown colony was known as a royal colony in the 17th century.,3311,356,"3311,3311","356,360"
24,2328,The name of Colombia's territory is Colombia.,,,,
25,2328,Colombia is one of the world's 17 megadiverse countries.,,,,
26,2328,"Along with the Pacific coastline, Colombian territory is also the Caribbean.",,,,
27,2328,Colombia is densely biodiverse.,,,,
28,2328,Colombia's nationality is Colombian.,,,,
29,2328,Colombia belongs to six emerging markets.,,,,
30,2328,Colombia is a member of the WTO organization.,,,,
31,2328,Colombia is a member of OAS.,,,,
32,2328,Colombia has Amazon rainforest.,,,,
33,2328,Colombia's economy is located in Latin America.,,,,
34,2328,Colombia ranks fourth among Latin American economies.,,,,
